"filename", "language", "TypeScript", "CSS", "JSON", "JSON with Comments", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\rober\Desktop\otc-app\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 18, 0, 3, 21
"c:\Users\rober\Desktop\otc-app\src\application\exceptions\authentication.exception.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\rober\Desktop\otc-app\src\application\exceptions\base.exception.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\rober\Desktop\otc-app\src\assets\css\background.css", "CSS", 0, 3, 0, 0, 0, 1, 1, 5
"c:\Users\rober\Desktop\otc-app\src\assets\css\blob.css", "CSS", 0, 42, 0, 0, 0, 0, 6, 48
"c:\Users\rober\Desktop\otc-app\src\assets\css\react-datepicker.css", "CSS", 0, 784, 0, 0, 0, 0, 120, 904
"c:\Users\rober\Desktop\otc-app\src\assets\json\Drop.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rober\Desktop\otc-app\src\assets\json\addproduct.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rober\Desktop\otc-app\src\assets\json\astronaut.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rober\Desktop\otc-app\src\assets\json\clip.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rober\Desktop\otc-app\src\assets\json\doctor.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rober\Desktop\otc-app\src\assets\json\finance.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rober\Desktop\otc-app\src\assets\json\inventary.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rober\Desktop\otc-app\src\assets\json\invoice.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rober\Desktop\otc-app\src\assets\json\money.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rober\Desktop\otc-app\src\assets\json\notFound.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rober\Desktop\otc-app\src\assets\json\password.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rober\Desktop\otc-app\src\assets\json\pharmacy.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rober\Desktop\otc-app\src\assets\json\position.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rober\Desktop\otc-app\src\assets\json\prescription.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rober\Desktop\otc-app\src\assets\json\reports.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rober\Desktop\otc-app\src\assets\json\return.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rober\Desktop\otc-app\src\assets\json\returns.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rober\Desktop\otc-app\src\assets\json\roles.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rober\Desktop\otc-app\src\assets\json\selectfile.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rober\Desktop\otc-app\src\assets\json\sells.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rober\Desktop\otc-app\src\assets\json\ticket.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rober\Desktop\otc-app\src\assets\json\upload.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rober\Desktop\otc-app\src\assets\json\waves.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rober\Desktop\otc-app\src\index.css", "CSS", 0, 7, 0, 0, 0, 0, 1, 8
"c:\Users\rober\Desktop\otc-app\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 17, 0, 1, 18
"c:\Users\rober\Desktop\otc-app\src\modules\alarm-config\domain\entities\alarms.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 1, 15
